expression,reading,meaning,tags,guid
作法,さほう,예절,JLPT JLPT_2 JLPT_3,HYeQ[!t+v+
様々,さまざま,"다양한, 여러 가지",JLPT JLPT_2 JLPT_3,l>?/o{CjV<
冷ます,さます,"식히다, 식히게 하다",JLPT JLPT_2 JLPT_3,m(o0n4^}Z$
覚ます,さます,깨우다,JLPT JLPT_2 JLPT_3,t9@aJ[u<UZ
冷める,さめる,식다,JLPT JLPT_2 JLPT_3,LR.A;82:W|
覚める,さめる,깨어나다,JLPT JLPT_2 JLPT_3,Dob+O4(+<L
左右,さゆう,좌우,JLPT JLPT_2 JLPT_3,d8br}6f4&T
皿,さら,"그릇, 접시",JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki,p*f@mDk_ih
更に,さらに,"더구나, 더군다나",JLPT JLPT_2 JLPT_3,n=YLy+|9V>
去る,さる,물러가다,JLPT JLPT_2 JLPT_3,q:@^dVE|Ux
猿,さる,원숭이,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,I;FmV}C|Mm
騒ぎ,さわぎ,소란,JLPT JLPT_2 JLPT_3,"b-,^J/-<a("
参加,さんか,참가,JLPT JLPT_2 JLPT_3,NJ??D?6U!^
参考,さんこう,참고,JLPT JLPT_2 JLPT_3,Han8<B?^r0
賛成,さんせい,찬성,JLPT JLPT_2 JLPT_3,"emfZ/!E,?["
酸性,さんせい,산성,JLPT JLPT_2 JLPT_3,geVhjMXt@#
酸素,さんそ,산소,JLPT JLPT_2 JLPT_3,DM##q[%RFu
氏,し,-씨,JLPT JLPT_2 JLPT_3,LAOK_nHPS/
詩,し,시,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,PI;rr><.*1
幸せ,しあわせ,행복,JLPT JLPT_2 JLPT_3,MYpn~@*11o
ジーンズ,ジーンズ,청바지,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki,o3hhzYEH)l
ジェット機,ジェットき,제트기,JLPT JLPT_2 JLPT_3,fS!]EX&j7m
四角,しかく,네모,JLPT JLPT_2 JLPT_3,J[L(f7xE~B
