expression,reading,meaning,tags,guid
現像,げんぞう,(필름) 현상,JLPT_1 JLPT,v9bha+<cj}
原則,げんそく,원칙,JLPT_1 JLPT,dVC[`t${#`
見地,けんち,견지,JLPT_1 JLPT,wk)a!>hpi:
現地,げんち,현지,JLPT_1 JLPT,G$>SwAUY5:
限定,げんてい,한정,JLPT_1 JLPT,o%F/8(![P3
原点,げんてん,원점,JLPT_1 JLPT,bXdt~Sz`DP
原典,げんてん,원전,JLPT_1 JLPT,EB`MVeV|+3
原爆,げんばく,원폭,JLPT_1 JLPT,qVu!~xa[nC
原文,げんぶん,원문,JLPT_1 JLPT,w>egRzs&//
厳密,げんみつ,"엄밀함, 엄격함",JLPT_1 JLPT,k<}V}HBo:Y
賢明,けんめい,현명,JLPT_1 JLPT,rF6VPIq@Kt
倹約,けんやく,검약,JLPT_1 JLPT,G)qGN7wCPF
原油,げんゆ,원유,JLPT_1 JLPT,mqzQ4phBV%
兼用,けんよう,겸용,JLPT_1 JLPT,Q[mY;6;Blm
権力,けんりょく,"세, 세력",JLPT_1 JLPT,zLBVbQJht)
言論,げんろん,언론,JLPT_1 JLPT,j=]X!_Sn:<
故～,こ～,고,JLPT_1 JLPT,l<k2Hl<qF:
語彙,ごい,어휘,JLPT_1 JLPT,dg-x#L-S>s
恋する,こいする,사랑하다,JLPT_1 JLPT,x>yH@(e$>B
甲,こう,딱지,JLPT_1 JLPT,gr(P$T&hE)
～光,～こう,광,JLPT_1 JLPT,dR[Ye:I0gD
好意,こうい,호의,JLPT_1 JLPT,f{|~G`MfSc
行為,こうい,행위,JLPT_1 JLPT,"x,?`vew_Y^"
合意,ごうい,합의,JLPT_1 JLPT,u5DPHkD^67
工学,こうがく,공학,JLPT_1 JLPT,nLBSX>%S~{
抗議,こうぎ,항의,JLPT_1 JLPT,N%yl^:99*x
合議,ごうぎ,의논,JLPT_1 JLPT,g]f7CW]TnO
皇居,こうきょ,황궁,JLPT_1 JLPT,s3?rVk?BGD
好況,こうきょう,호황,JLPT_1 JLPT,w5c/V*0:/6
鉱業,こうぎょう,광업,JLPT_1 JLPT,w)+*p6qI~s
興業,こうぎょう,"흥행, 사업을 일으킴",JLPT_1 JLPT,qy~me*:#E{
高原,こうげん,고원,JLPT_1 JLPT,GF2Ak`BNv1
交互,こうご,"교대로, 번갈아",JLPT_1 JLPT,i<WWSGhMtl
煌々と,こうこうと,밝게,JLPT_1 JLPT,wYY;?*yl=I
考古学,こうこがく,고고학,JLPT_1 JLPT,CYD1fRQ8EC
工作,こうさく,공작,JLPT_1 JLPT,wzz*)FRo9<
耕作,こうさく,경작,JLPT_1 JLPT,hB|/|8Uy}2
鉱山,こうざん,광산,JLPT_1 JLPT,"KT!enF:=,%"
講習,こうしゅう,강습,JLPT_1 JLPT,g(z7%o&?^
口述,こうじゅつ,구술,JLPT_1 JLPT,C~8oU(cK0?
控除,こうじょ,공제,JLPT_1 JLPT,s2uW?Na1t%
交渉,こうしょう,교섭,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,uv@U[?I@AF
高尚,こうしょう,고상; 고상한,JLPT_1 JLPT,Ndw<}.:V2o
向上,こうじょう,향상,JLPT_1 JLPT,Qcz@t2UD0)
行進,こうしん,행군,JLPT_1 JLPT,A=w}ZE@917
香辛料,こうしんりょう,향신료,JLPT_1 JLPT,ce!{r.1}~3
降水,こうすい,"강우, 강수량",JLPT_1 JLPT,"pb1#Y263n,"
洪水,こうずい,홍수,JLPT_1 JLPT,wakC-uKaq}
合成,ごうせい,합성,JLPT_1 JLPT,c^4E@A0[92
公然,こうぜん,공연; 공연한,JLPT_1 JLPT,M(>QOkIhfA
抗争,こうそう,항쟁,JLPT_1 JLPT,Ayw{S[ULVi
構想,こうそう,구상,JLPT_1 JLPT,HJ3]TaFI5x
後退,こうたい,후퇴,JLPT_1 JLPT,Hg(g(Ch73j
光沢,こうたく,"광택, 윤기",JLPT_1 JLPT,sz+BIfx<J$
公団,こうだん,공단,JLPT_1 JLPT,C&5}~^z)ts
好調,こうちょう,호조,JLPT_1 JLPT,fn+k2uN^.*
口頭,こうとう,구두,JLPT_1 JLPT,mWZ1nL&l+A
講読,こうどく,강독,JLPT_1 JLPT,"cbt]L<,==)"
購読,こうどく,구독,JLPT_1 JLPT,BPBnR~`=Cm
購入,こうにゅう,구입,JLPT_1 JLPT,mN.]${Ep@o
公認,こうにん,공인,JLPT_1 JLPT,f=;(Z+KSn*
光熱費,こうねつひ,광열비,JLPT_1 JLPT,CBInEbAiwn
購買,こうばい,구매,JLPT_1 JLPT,m|%voYE^yW
好評,こうひょう,호평,JLPT_1 JLPT,PN?X>r5#3$
交付,こうふ,교부,JLPT_1 JLPT,iWHq@iV7/S
公募,こうぼ,공모,JLPT_1 JLPT,zuO/%#|pw9
巧妙,こうみょう,교묘; 교묘한,JLPT_1 JLPT,K0cz7g4lOn
公用,こうよう,공용,JLPT_1 JLPT,E{n/tl9=Ih
小売,こうり,소매,JLPT_1 JLPT,c_Z6-bZ>!E
効率,こうりつ,능률,JLPT_1 JLPT,zkc6-]4~)6
公立,こうりつ,공립,JLPT_1 JLPT,FUSldz(S$f
護衛,ごえい,호위,JLPT_1 JLPT,Bs7a.5p1{r
コーナー,コーナー,"코너, 구석",JLPT_1 JLPT,n/T(.dj~.j
小柄,こがら,"작은 체격, 몸집이 작음",JLPT_1 JLPT,p|m2.?zBm2
小切手,こぎって,수표,JLPT_1 JLPT,vh>Pgi:y!n
国産,こくさん,국산,JLPT_1 JLPT,NVGuI`wyWr
国定,こくてい,국정,JLPT_1 JLPT,K:.NA{MA#
告白,こくはく,실토,JLPT_1 JLPT,D/-Yon@zj7
国防,こくぼう,국방,JLPT_1 JLPT,gB_-ioo>5E
国有,こくゆう,국유,JLPT_1 JLPT,qhprC(Et1a
極楽,ごくらく,극락,JLPT_1 JLPT,MY-u/w:|X`
国連,こくれん,국제 연합,JLPT_1 JLPT,PWdSCAXCS{
焦げ茶,こげちゃ,짙은 갈색,JLPT_1 JLPT,z#D(l+D|+d
語源,ごげん,어원,JLPT_1 JLPT,"wW7;mB,H-n"
心地,ここち,기분,JLPT_1 JLPT,HRZ-ZZ((63
心得,こころえ,마음가짐,JLPT_1 JLPT,r]B:&#9/Oj
心掛け,こころがけ,"마음가짐, 유의",JLPT_1 JLPT,v|gKw*kSA<
心掛ける,こころがける,유념하다,JLPT_1 JLPT,xF|-#cu_O[
志,こころざし,마음,JLPT_1 JLPT,J^EH*N|S>D
志す,こころざす,뜻하다,JLPT_1 JLPT,zc/071N?*?
心強い,こころづよい,"든든하다, 마음이 놓이다",JLPT_1 JLPT,K>pZg]2z_[
心細い,こころぼそい,"불안하다, 의지할 데가 없다",JLPT_1 JLPT,ve[sU52iIO
試み,こころみ,"시도, 시험",JLPT_1 JLPT,LnQ-7#~J-i
試みる,こころみる,"시도하다, 시험하다",JLPT_1 JLPT,qG!ugw]O{9
快い,こころよい,"즐거운, 유쾌한",JLPT_1 JLPT,eXTY5f2Ubn
誤差,ごさ,오차,JLPT_1 JLPT,bE*}iimu/k
ございます (かん),ございます (かん),있습니다(존재를 나타내는 공손한 표현),JLPT_1 JLPT,g2<)LlaRj=
孤児,こじ,고아,JLPT_1 JLPT,Nru>c@<pc2
こじれる,こじれる,틀리다,JLPT_1 JLPT,jQE(/ITykr
こす (みずを～),こす (みずを～),"걸러내다, 여과하다",JLPT_1 JLPT,P2WNAwMh[2
梢,こずえ,나무 꼭대기,JLPT_1 JLPT,"P{..MI,|Mb"
個性,こせい,개성,JLPT_1 JLPT,EsL6l#sj?m
戸籍,こせき,호적,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,JOc{[NV4x8
古代,こだい,고대,JLPT_1 JLPT,s_N1oO.lmA
